model,variant,WNNC (official CUDA),Ours (pure PyTorch),PCA+MST (Hoppe'92)
sphere,clean,1.6574492454528809,1.6199742555618286,0.3704474731611901
sphere,sigmap0025,20.41126823425293,19.599796295166016,4.805498696728529
sphere,sigmap005,31.77609634399414,32.53433609008789,11.034125234290698
sphere,sigmap01,31.032093048095703,29.65819358825684,26.13020030521438
torus,clean,2.876002550125122,2.618860960006714,0.991698498853803
torus,sigmap0025,9.995118141174316,9.320141792297363,5.247541015135435
torus,sigmap005,11.935302734375,13.386168479919434,11.799906033812215
torus,sigmap01,27.340965270996094,25.94339370727539,28.06954557006133
bunny,clean,7.016905307769775,6.917978286743164,6.038774231022524
bunny,sigmap0025,15.16049098968506,16.143259048461914,9.282485832136173
bunny,sigmap005,20.117416381835938,19.870899200439453,16.828167118924707
bunny,sigmap01,31.32589340209961,34.52155685424805,34.14299265636654
armadillo,clean,9.290159225463867,9.194594383239746,12.416930193442216
armadillo,sigmap0025,18.58219718933105,19.458858489990234,15.943464693139695
armadillo,sigmap005,25.749317169189453,25.35246467590332,24.76920366207681
armadillo,sigmap01,34.2332763671875,37.19498825073242,40.99490144770857
dragon,clean,7.887171268463135,7.789532661437988,10.69007957650909
dragon,sigmap0025,16.82529067993164,16.28290367126465,14.122404632437306
dragon,sigmap005,23.032634735107425,22.77746963500977,22.63757595561325
dragon,sigmap01,33.336273193359375,33.06108093261719,39.68198306297506
